21.4 1.5 3.4 1.785 1.125
24.8 0.5 0.5 1.125 -0.125
36.2 0.75 1.9 1.25 0.25
37 0.5 3.4 1.125 -0.125
36 -0.5 1 -0.3125 -0.6875
49.1 -0.875 4.1 -1.125 -0.625
55 -0.75 1.66 -0.25 -1.25
58.2 -1.125 1.1 -1 -1.25
64.3 -1.125 1.4 -1.875 -0.375
76.7 -1.25 2 -1.375 -1.125
85.1 -1.75 1.8 -1.6625 -1.8375
75 -2.5 1.66 -3.3125 -1.6875
77.5 -2.25 2.7 -1.25 -3.25
83.5 -2.375 0.6 -3.6875 -1.0625
85.2 -2.75 1.7 -1.875 -3.625

